0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
"","","","","","","","","","","","","","","","","","","",-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,"",-1.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",-0.44,-0.83,-1.03,-0.53,"",-0.83,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.17,-1.03,-1.03,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",-0.73,"","",-0.46,"",-0.3,"",-0.67,-1.17,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.17,-1.17,-1.17,-1.24,-1.03,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",-1.03,"","","",-1.03,"",-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.17,-1.03,-1.03,-1.03,-1.03,-1.17,-1.17,-1.17,-1.17,-1.24,-1.17,-1.24,-1.24,-1.1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",-0.53,-0.83,-1.03,-0.53,-0.73,-1.03,-1.03,-1.03,-1.03,-1.17,-1.17,-1.17,-1.17,-1.17,-1.17,-1.03,-1.17,-1.24,-1.24,-1.17,-1.24,-1.24,-1.24,-1.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",-1.03,-1.03,-1.03,"",-1.03,-0.83,-1.03,-1.03,-1.03,-1.03,-1.17,-1.17,-1.17,-1.17,-1.3,-1.24,-1.24,-1.24,-1.24,-1.24,-1.33,-1.24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",-0.73,"","",-1.03,"","",-0.53,"","",-0.8,-1.03,-1.24,-1.17,-1.03,-1.17,-1.17,-1.17,-1.37,"",-1.17,-1.24,-1.3,"","",-1.3,-1.3,-1.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","",-0.6,"","",-0.46,-1.03,"","","",-1.17,-1.24,"","","","","",-1.3,-1.4,-1.3,-1.24,-1.17,-1.17,"","","",-1.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","",-0.46,"","","",-1.17,-1.17,-1.17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","",-1.03,"","","",-1.17,"","","","","","","",-1.03,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",-1.03,-1.03,-1.03,"","","","","","","","","","","","","","",-1.33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","",-1.03,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
